"Symbol","Degree","Betweenness","Confidence","Log2FC"
"SPI1",17,0.0267342241254177,"Medium",0.345525785867982
"CCR5",15,0.042751380789873,"High",1.20101976516366
"LCP2",14,0.00666986640815476,"Medium",0.522044038010026
"FCGR1A",13,0.018898328067654,"High",2.31430352780046
"PLEK",13,0.0085916547130703,"Medium",0.499078189828804
"ITGB2",13,0.00219091716620857,"Medium",0.669043485227232
"CSF2RB",13,0.0127552640965086,"Medium",0.665882173274763
"CCR1",13,0.00479509226018999,"High",1.00396897785589
"C3AR1",12,0.00600291845970612,"High",1.38147818482316
"ITGAL",11,0.00286263131075434,"Medium",0.585466593857563
"TLR7",10,0.0128642622526415,"High",1.29344346467797
"CD300A",9,0.00691471287801563,"Medium",0.755988148437943
"IL1RN",7,0.0256880733944954,"Medium",0.343630494803473
"EPO",6,0.00967064705596816,"High",1.20031409784696
"APBB1IP",6,0,"Medium",0.419028010786537
"FERMT3",6,0,"Medium",0.377610845975414
"CAV1",5,0.0198849570409203,"Medium",-0.113346635703102
"MS4A4A",4,0.00270698833389965,"High",1.75753535238755
"IL12RB1",4,0.00795855379188713,"High",1.11950174521594
"AIM2",4,0.00881888149981932,"High",2.39479716830864
"LILRB4",3,0.00682814750093038,"High",1.143220578285
"CR1",3,1.88771850341677e-05,"High",1.20449497726909
"IL21R",3,0.000351924663851269,"High",1.47719157344873
"GBP5",3,0.00607049819588046,"High",2.78447479846663
"HOXA9",3,0.00679578661230037,"Medium",-0.237559636947288
"IL1RL1",2,0.0132517838939857,"Medium",0.416925160783751
"CYSLTR1",2,0.00679578661230037,"Medium",0.734213549747397
"NOS1",2,0,"Medium",-0.547372882604114
"LILRB1",2,3.23608886300018e-05,"High",1.1050219993398
"LMO2",2,0,"Medium",0.510013715269519
"CALML3",2,0,"Medium",-0.332189871657069
"GBP2",2,0,"High",1.28656527243878
"CYGB",1,0,"Medium",0.493340070061257
"TMPRSS11D",1,0,"Medium",0.675169204979245
"ALOX15B",1,0,"Medium",-0.244263664868411
"ACAP1",1,0,"Medium",0.675934357435099
"IL27",1,0,"High",1.95767064028691
"MSI1",1,0,"Medium",0.744485305302303
"NLRP12",1,0,"Medium",-0.567846272849913
"KCNK3",1,0,"Medium",0.86869702737113
"APOL3",1,0,"Medium",0.874379622165392
"HSD11B1",1,0,"Medium",0.590812802762486
